,datetime,symbol,收盤價
239327,2014-01-06,2610,10.8
240824,2014-01-07,2610,10.8
242321,2014-01-08,2610,10.8
243819,2014-01-09,2610,10.85
245317,2014-01-10,2610,10.8
246814,2014-01-13,2610,10.8
248312,2014-01-14,2610,10.85
249811,2014-01-15,2610,10.9
251311,2014-01-16,2610,10.8
252810,2014-01-17,2610,10.8
254310,2014-01-20,2610,10.75
255811,2014-01-21,2610,10.75
257312,2014-01-22,2610,10.75
258813,2014-01-23,2610,10.65
260314,2014-01-24,2610,10.65
261815,2014-01-27,2610,10.65
263316,2014-02-05,2610,10.5
264817,2014-02-06,2610,10.4
266318,2014-02-07,2610,10.35
267819,2014-02-10,2610,10.35
269320,2014-02-11,2610,10.35
270821,2014-02-12,2610,10.3
272322,2014-02-13,2610,10.45
273823,2014-02-14,2610,10.45
275324,2014-02-17,2610,10.4
276825,2014-02-18,2610,10.4
278326,2014-02-19,2610,10.35
279827,2014-02-20,2610,10.3
281328,2014-02-21,2610,10.35
282829,2014-02-24,2610,10.3
284330,2014-02-25,2610,10.3
285832,2014-02-26,2610,10.3
287334,2014-02-27,2610,10.4
288836,2014-03-03,2610,10.35
290338,2014-03-04,2610,10.2
291840,2014-03-05,2610,10.25
293342,2014-03-06,2610,10.3
294844,2014-03-07,2610,10.3
296346,2014-03-10,2610,10.3
297848,2014-03-11,2610,10.3
299351,2014-03-12,2610,10.25
300854,2014-03-13,2610,10.25
302357,2014-03-14,2610,10.2
303861,2014-03-17,2610,10.25
305365,2014-03-18,2610,10.25
306869,2014-03-19,2610,10.15
308373,2014-03-20,2610,10.0
309877,2014-03-21,2610,10.1
311381,2014-03-24,2610,10.1
312885,2014-03-25,2610,10.05
314389,2014-03-26,2610,10.05
315893,2014-03-27,2610,10.05
317397,2014-03-28,2610,10.05
318903,2014-03-31,2610,10.05
320409,2014-04-01,2610,10.1
321915,2014-04-02,2610,10.2
323421,2014-04-03,2610,10.15
324927,2014-04-07,2610,10.2
326433,2014-04-08,2610,10.15
327939,2014-04-09,2610,10.15
329445,2014-04-10,2610,10.2
330951,2014-04-11,2610,10.25
332458,2014-04-14,2610,10.15
333965,2014-04-15,2610,10.2
335472,2014-04-16,2610,10.3
336979,2014-04-17,2610,10.35
338486,2014-04-18,2610,10.3
339993,2014-04-21,2610,10.15
341500,2014-04-22,2610,10.3
343007,2014-04-23,2610,10.25
344515,2014-04-24,2610,10.25
346023,2014-04-25,2610,10.1
347531,2014-04-28,2610,10.1
349039,2014-04-29,2610,10.2
350547,2014-04-30,2610,10.1
352055,2014-05-02,2610,10.15
353563,2014-05-05,2610,10.15
355071,2014-05-06,2610,10.15
356579,2014-05-07,2610,10.25
358087,2014-05-08,2610,10.25
359595,2014-05-09,2610,10.3
361103,2014-05-12,2610,10.2
362611,2014-05-13,2610,10.2
364120,2014-05-14,2610,10.3
365629,2014-05-15,2610,10.3
367138,2014-05-16,2610,10.2
368647,2014-05-19,2610,10.2
370156,2014-05-20,2610,10.25
371665,2014-05-21,2610,10.2
373174,2014-05-22,2610,10.3
374683,2014-05-23,2610,10.25
376193,2014-05-26,2610,10.15
377703,2014-05-27,2610,10.2
379213,2014-05-28,2610,10.15
380723,2014-05-29,2610,10.2
382233,2014-05-30,2610,10.15
383743,2014-06-03,2610,10.2
385253,2014-06-04,2610,10.15
386763,2014-06-05,2610,10.15
388273,2014-06-06,2610,10.15
389783,2014-06-09,2610,10.15
391293,2014-06-10,2610,10.2
392803,2014-06-11,2610,10.1
394313,2014-06-12,2610,10.15
395824,2014-06-13,2610,10.15
397335,2014-06-16,2610,10.1
398846,2014-06-17,2610,10.15
400357,2014-06-18,2610,10.15
401868,2014-06-19,2610,10.1
403379,2014-06-20,2610,10.05
404890,2014-06-23,2610,10.0
406401,2014-06-24,2610,10.0
407912,2014-06-25,2610,10.05
409423,2014-06-26,2610,10.1
410934,2014-06-27,2610,10.0
412445,2014-06-30,2610,10.25
413956,2014-07-01,2610,10.05
415467,2014-07-02,2610,10.05
416978,2014-07-03,2610,10.05
418489,2014-07-04,2610,10.3
420000,2014-07-07,2610,10.15
421511,2014-07-08,2610,10.15
423022,2014-07-09,2610,10.15
424534,2014-07-10,2610,10.2
426046,2014-07-11,2610,10.2
427558,2014-07-14,2610,10.4
429070,2014-07-15,2610,10.35
430582,2014-07-16,2610,10.35
432094,2014-07-17,2610,10.45
433606,2014-07-18,2610,10.3
435118,2014-07-21,2610,10.3
436630,2014-07-22,2610,10.25
438143,2014-07-24,2610,10.25
439657,2014-07-25,2610,10.2
441172,2014-07-28,2610,10.2
